name_,name_category,name_category_url,name_level,name_serves,name_pretime,name_img,name_description,name_ingredients,name_howtodo,name_tag1,name_tag2,name_tag3
Chilli tofu veg __oodles_,Healthy lunch recipes,https://www.deliciousmagazine.co.uk/collections/healthy-lunch-recipes/,Easy,Serves 2,Hands-on time 15 min,https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/09/zoodles-768x960.jpg,"Our carb-light take on noodles is an easy weeknight win, and a great option for meat-free Mondays.","10 sprays olive oil
200g firm tofu, cut into cubes
1 garlic clove, crushed
Thumb-size piece fresh ginger, grated
1 fresh red chilli, finely sliced
2 spring onions, finely sliced
2 courgettes (320g), finely sliced into __oodles_ with a julienne peeler or spiraliser
1 carrot (160g), finely sliced into __oodles_ with a julienne peeler or spiraliser
2 tsp sesame oil
Finely grated zest and juice 1 lime
Fresh coriander to serve","10 sprays olive oil
200g firm tofu, cut into cubes
1 garlic clove, crushed
Thumb-size piece fresh ginger, grated
1 fresh red chilli, finely sliced
2 spring onions, finely sliced
2 courgettes (320g), finely sliced into __oodles_ with a julienne peeler or spiraliser
1 carrot (160g), finely sliced into __oodles_ with a julienne peeler or spiraliser
2 tsp sesame oil
Finely grated zest and juice 1 lime
Fresh coriander to serve",Gluten-free recipes,Vegan recipes,Vegetarian recipes
"Black rice paella with artichokes, peppers and spinach",Vegetarian main courses,https://www.deliciousmagazine.co.uk/collections/vegetarian-main-courses/,Medium,Serves 4-6,"Hands-on time 50 min, plus resting",https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/09/black-rice-paella-768x960.jpg,Black venus (also called venere or venere nero) is a dark purple medium-grain rice with a nutty taste. It__ available from large supermarkets and online.,"3 tbsp olive oil, plus a splash
½ large Spanish onion, chopped
160g runner beans, sliced
¼-½ tsp saffron, toasted in a dry pan
1 tsp smoked sweet pimentón (see Know-how)
¼ smoked hot pimentón (see Know-how)
2 large fresh tomatoes on the vine, chopped
2 fat garlic cloves, chopped
175g marinated artichokes in oil
650-700ml vegetable stock (if you__e vegan, check the stock is vegan)
250g black venus rice (we used Gallo), soaked in cold water for 30 minutes, then drained
2 fresh bay leaves
1 bushy rosemary sprig
130g pack pardon peppers
1 large green or yellow courgette, peeled into ribbons
115g bag baby leaf spinach
1 tbsp extra-virgin olive oil
Splash sherry vinegar
You__l also need_
32-34cm paella pan or large shallow casserole, or 3 smaller paella pans to serve 1-2 people each","3 tbsp olive oil, plus a splash
½ large Spanish onion, chopped
160g runner beans, sliced
¼-½ tsp saffron, toasted in a dry pan
1 tsp smoked sweet pimentón (see Know-how)
¼ smoked hot pimentón (see Know-how)
2 large fresh tomatoes on the vine, chopped
2 fat garlic cloves, chopped
175g marinated artichokes in oil
650-700ml vegetable stock (if you__e vegan, check the stock is vegan)
250g black venus rice (we used Gallo), soaked in cold water for 30 minutes, then drained
2 fresh bay leaves
1 bushy rosemary sprig
130g pack pardon peppers
1 large green or yellow courgette, peeled into ribbons
115g bag baby leaf spinach
1 tbsp extra-virgin olive oil
Splash sherry vinegar
You__l also need_
32-34cm paella pan or large shallow casserole, or 3 smaller paella pans to serve 1-2 people each",Vegan recipes,Vegetarian recipes,
Summer garden soup,July seasonal food,https://www.deliciousmagazine.co.uk/collections/july-seasonal-food/,Easy,Serves 4,Hands-on time 30 min,https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/08/summer-garden-soup-768x960.jpg,"Celebrate all things good, green and fresh from the garden with Gill Meller__ beautiful summery vegetable soup made with broad beans, fennel, new potatoes and lots of fresh herbs.","2 tbsp extra-virgin olive oil, plus extra for finishing
2 medium fennel bulbs, trimmed, halved and diced
4 new potatoes, scrubbed, cut into 1cm cubes
1 litre well flavoured vegetable stock
1 medium courgette, cut into 1cm cubes
2 large handfuls freshly podded broad beans
2 handfuls freshly podded peas
6 spring onions, trimmed and thinly sliced
1 small lettuce, washed and shredded into 1-2cm pieces
Large handful mixed fresh herbs, (such as mint, flatleaf parsley, basil, fennel tops or chives), leaves picked and chopped
Squeeze fresh lemon juice","2 tbsp extra-virgin olive oil, plus extra for finishing
2 medium fennel bulbs, trimmed, halved and diced
4 new potatoes, scrubbed, cut into 1cm cubes
1 litre well flavoured vegetable stock
1 medium courgette, cut into 1cm cubes
2 large handfuls freshly podded broad beans
2 handfuls freshly podded peas
6 spring onions, trimmed and thinly sliced
1 small lettuce, washed and shredded into 1-2cm pieces
Large handful mixed fresh herbs, (such as mint, flatleaf parsley, basil, fennel tops or chives), leaves picked and chopped
Squeeze fresh lemon juice",Vegan recipes,,
Ful medames,Vegetarian starter recipes,https://www.deliciousmagazine.co.uk/collections/vegetarian-starter-recipes/,Easy,Serves 2 as a starter or 4 as a snack,Hands-on time 15 min,https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/08/ful-medames-768x960.jpg,"Ful medames is an Egyptian dish made with fava beans, parsley and garlic. Some versions are made into a dip or stew but we__e served the dish here as a light salad. It makes a wonderful starter or snack served with pitta breads and only takes 15 minutes to make.","400g tin broad beans or fava beans
Pinch paprika
Pinch cinnamon (optional)
Juice 2 lemons
3 garlic cloves, crushed
3 large tomatoes, deseeded and finely chopped
80ml olive oil
Bunch fresh flatleaf parsley, finely chopped
Pitta bread to serve","400g tin broad beans or fava beans
Pinch paprika
Pinch cinnamon (optional)
Juice 2 lemons
3 garlic cloves, crushed
3 large tomatoes, deseeded and finely chopped
80ml olive oil
Bunch fresh flatleaf parsley, finely chopped
Pitta bread to serve",Dairy-free recipes,Vegan recipes,
Vegan coconut and mango pavlova,Meringue recipes,https://www.deliciousmagazine.co.uk/collections/meringue-recipes/,Medium,Serves 8-10,"Hands-on time 40 min, oven time 1½ hours, plus 2-3 hours cooling and chilling",https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/07/tropical-pavlova-768x960.jpg,We__e turned this egg and dairy-based dessert into a knockout vegan showstopper with our coconut and mango pavlova. It__ topped with coconut cream and a tropical layer of mango and lime making it a wonderful pud to pull out at a summer party.,"400g can chickpeas
220g caster sugar
1 tbsp cornflour
For the mango and lime topping
3 ripe passion fruit
Zest and juice 1 lime
400ml mango sorbet to serve
2 ripe mangoes, peeled, de-stoned and sliced to serve
For the coconut cream
250ml carton coconut cream, chilled for at least 3 hours (we used Sainsbury__ own brand)
1-2 tbsp maple syrup, optional
You__l also need_
Baking tray lined with non-stick baking paper; stand mixer/electric mixer","400g can chickpeas
220g caster sugar
1 tbsp cornflour
For the mango and lime topping
3 ripe passion fruit
Zest and juice 1 lime
400ml mango sorbet to serve
2 ripe mangoes, peeled, de-stoned and sliced to serve
For the coconut cream
250ml carton coconut cream, chilled for at least 3 hours (we used Sainsbury__ own brand)
1-2 tbsp maple syrup, optional
You__l also need_
Baking tray lined with non-stick baking paper; stand mixer/electric mixer",Vegan recipes,,
Lighter caponata,Healthy makeover recipes,https://www.deliciousmagazine.co.uk/collections/healthy-makeover-recipes/,Easy,Serves 4,"Hands-on time 10 min, oven time 35-40 min",https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/07/caponata-768x960.jpg,"Our lighter take on the classic Sicilian dish is less than 250 calories per serving _ perfect if you__e following the 5:2 diet. For a heartier meal, serve with crusty ciabatta bread or stir through pasta as a fantastic vegetable-based sauce.","2 aubergines, quartered lengthways
1 medium red onion, finely sliced
1 celery stick, cut into 1cm chunks
Cooking oil spray
6 plum tomatoes, roughly chopped (or use a 400g can of chopped tomatoes)
2 garlic cloves, crushed
3 tbsp olive oil
1 tbsp red wine vinegar
1 tsp dried marjoram or oregano
80g large pitted green olives (we used gordal, in a cumin and lemon dressing), sliced
2 tbsp capers, drained
20g golden raisins
20g fresh basil, leaves picked and roughly torn
1 tbsp pine nuts, lightly toasted in a dry pan (optional)","2 aubergines, quartered lengthways
1 medium red onion, finely sliced
1 celery stick, cut into 1cm chunks
Cooking oil spray
6 plum tomatoes, roughly chopped (or use a 400g can of chopped tomatoes)
2 garlic cloves, crushed
3 tbsp olive oil
1 tbsp red wine vinegar
1 tsp dried marjoram or oregano
80g large pitted green olives (we used gordal, in a cumin and lemon dressing), sliced
2 tbsp capers, drained
20g golden raisins
20g fresh basil, leaves picked and roughly torn
1 tbsp pine nuts, lightly toasted in a dry pan (optional)",Vegan recipes,,
Spicy potato and cauliflower burger,Vegetarian burger recipes,https://www.deliciousmagazine.co.uk/collections/vegetarian-burger-recipes/,Easy,Makes 4,"Hands-on time 40 min, oven time 20 min, plus chilling",https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/07/curry-burger-768x960.jpg,"Inspired by the street food of Mumbai, this potato and cauliflower patty-in-a-bun delivers sweet, roasted spice flavours with a generous dollop of creamy fresh coconut yogurt and tangy tamarind paste.","Vegetable oil for frying
2 banana shallots, finely sliced into rounds
1 green chilli, finely sliced
Cornflour for dusting
2 tbsp tamarind paste(see Know-how)
4 burger buns, halved and lightly toasted (check they__e vegan if need be)
6 tbsp coconut yogurt (we used CoYo brand)
6 medium tomatoes, sliced
1 lime, cut into wedges
For the burger
200g cauliflower, sliced into florets
1 tbsp vegetable oil, plus extra for frying
500g potatoes, peeled and cut into 2cm chunks
3 tbsp madras curry paste (or your favourite curry paste)
2 fat garlic cloves, crushed
3cm piece fresh ginger, grated (no need to peel)
1 tsp black mustard seeds
2-3 tbsp non-dairy milk, such as soya or oat milk
1 tbsp mango chutney, plus extra to serve
Small handful fresh coriander, leaves picked and stalks chopped
Cornflour for dusting","Vegetable oil for frying
2 banana shallots, finely sliced into rounds
1 green chilli, finely sliced
Cornflour for dusting
2 tbsp tamarind paste(see Know-how)
4 burger buns, halved and lightly toasted (check they__e vegan if need be)
6 tbsp coconut yogurt (we used CoYo brand)
6 medium tomatoes, sliced
1 lime, cut into wedges
For the burger
200g cauliflower, sliced into florets
1 tbsp vegetable oil, plus extra for frying
500g potatoes, peeled and cut into 2cm chunks
3 tbsp madras curry paste (or your favourite curry paste)
2 fat garlic cloves, crushed
3cm piece fresh ginger, grated (no need to peel)
1 tsp black mustard seeds
2-3 tbsp non-dairy milk, such as soya or oat milk
1 tbsp mango chutney, plus extra to serve
Small handful fresh coriander, leaves picked and stalks chopped
Cornflour for dusting",Vegan recipes,,
Black rice super salad,Healthy lunch recipes,https://www.deliciousmagazine.co.uk/collections/healthy-lunch-recipes/,Easy,Serves 4,Hands-on time 20 min,https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/06/rice-salad-768x960.jpg,Whip up this vegan black rice salad in just 20 minutes and enjoy as a nutritious summer side or wholesome lunch at work the next day.,"2 x 200g pouches of cooked black wholegrain rice (we used Gallo, from Waitrose)
200g watercress
250g halved cherry tomatoes
5 thinly sliced spring onions
200g pomegranate seeds
1 ripe avocado
3 tbsp tahini
2 tbsp olive oil
Finely grated zest and juice of 2 lemons
1 tbsp agave syrup
Drizzle of olive oil and sprinkle of mixed seeds, to serve","2 x 200g pouches of cooked black wholegrain rice (we used Gallo, from Waitrose)
200g watercress
250g halved cherry tomatoes
5 thinly sliced spring onions
200g pomegranate seeds
1 ripe avocado
3 tbsp tahini
2 tbsp olive oil
Finely grated zest and juice of 2 lemons
1 tbsp agave syrup
Drizzle of olive oil and sprinkle of mixed seeds, to serve",Gluten-free recipes,Vegan recipes,
Bang bang tofu salad,Healthy lunch recipes,https://www.deliciousmagazine.co.uk/collections/healthy-lunch-recipes/,Easy,Serves 4,Hands-on time 30 min,https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/06/tofu-rice-768x960.jpg,"This fill-you-up salad is gluten-free, vegan and jam-packed with tasty Asian flavours. The bang bang sauce is made with peanut butter, sweet chilli and sesame oil _ you__l go nutty for it.","1 thinly sliced red onion
3 tbsp red wine vinegar
A pinch each of caster sugar and salt
170g sushi rice
300g tenderstem broccoli
1 tbsp vegetable oil
2 x 225g blocks of extra-firm smoked tofu (we like The Tofoo Co, from Waitrose, Tesco and Co-op)
50g smooth peanut butter
25g gluten-free sweet chilli sauce
1 tbsp toasted sesame oil
1 tbsp tamari soy sauce
2 tsp rice vinegar
1 tsp mirin
1 tsp black sesame seeds
Pinch of chilli flakes, to serve","1 thinly sliced red onion
3 tbsp red wine vinegar
A pinch each of caster sugar and salt
170g sushi rice
300g tenderstem broccoli
1 tbsp vegetable oil
2 x 225g blocks of extra-firm smoked tofu (we like The Tofoo Co, from Waitrose, Tesco and Co-op)
50g smooth peanut butter
25g gluten-free sweet chilli sauce
1 tbsp toasted sesame oil
1 tbsp tamari soy sauce
2 tsp rice vinegar
1 tsp mirin
1 tsp black sesame seeds
Pinch of chilli flakes, to serve",Gluten-free recipes,Vegan recipes,
Vegetable gyoza dumpling stir-fry,Delicious recipes for 1 person,https://www.deliciousmagazine.co.uk/collections/delicious-recipes-for-1-person/,Easy,Serves 1,Hands-on time 15 min,https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/06/gyoza-768x960.jpg,"Meet your new weekday staple: frozen Japanese gyoza dumplings. Cooked straight from the freezer, they make a brilliant shortcut supper for one.","1 tsp vegetable oil
5 frozen vegetable gyoza (see tip)
½ carrot, peeled into ribbons
½ courgette, peeled into ribbons
100g sugar snap peas, halved
1 tsp toasted sesame oil
1 tsp soy sauce, plus extra for drizzling
¼ tsp nigella seeds
2 spring onions, finely sliced
25g roasted salted peanuts, crushed or chopped","1 tsp vegetable oil
5 frozen vegetable gyoza (see tip)
½ carrot, peeled into ribbons
½ courgette, peeled into ribbons
100g sugar snap peas, halved
1 tsp toasted sesame oil
1 tsp soy sauce, plus extra for drizzling
¼ tsp nigella seeds
2 spring onions, finely sliced
25g roasted salted peanuts, crushed or chopped",Dairy-free recipes,Vegan recipes,Vegetarian recipes
