name,水果商铺数,蔬菜商铺数,蔬果商铺总数,name2
正街街市,3,2,5,正街街市
石塘咀街市,0,67,67,石塘咀街市
皇后街熟食市場,0,0,0,皇后街熟食市場
西營盤街市,0,46,46,西營盤街市
上環街市,2,52,54,上環街市
士美非路街市,40,72,112,士美非路街市
鵝頸街市,1,9,10,鵝頸街市
銅鑼灣街市,8,19,27,銅鑼灣街市
駱克道街市,4,19,23,駱克道街市
燈籠洲街市,3,0,3,燈籠洲街市
灣仔街市,10,25,35,灣仔街市
黃泥涌街市,10,16,26,黃泥涌街市
愛秩序灣街市,5,13,18,愛秩序灣街市
柴灣街市,2,59,61,柴灣街市
電氣道街市,11,14,25,電氣道街市
渣華道街市,32,74,106,渣華道街市
吉勝街熟食市場,0,0,0,吉勝街熟食市場
北角街市,0,1,1,北角街市
鰂魚涌街市,10,22,32,鰂魚涌街市
鴨脷洲街市,2,7,9,鴨脷洲街市
漁灣街市,0,6,6,漁灣街市
香港仔街市,0,2,2,香港仔街市
西灣河街市,1,6,7,西灣河街市
南朗山道熟食市場,0,0,0,南朗山道熟食市場
漁光道街市,0,0,0,漁光道街市
赤柱海濱小賣亭,1,0,1,赤柱海濱小賣亭
田灣街市,0,0,0,田灣街市
海防道臨時街市,1,22,23,海防道臨時街市
油麻地街市,2,8,10,油麻地街市
官涌街市,0,42,42,官涌街市
北河街街市,31,81,112,北河街街市
荔灣街市,3,8,11,荔灣街市
旺角熟食巿場,0,0,0,旺角熟食巿場
大角咀街市,12,34,46,大角咀街市
花園街街市,5,69,74,花園街街市
保安道街市,75,136,211,保安道街市
土瓜灣街市,0,82,82,土瓜灣街市
通州街臨時街市（包括深水埗玉器市場）,1,2,3,通州街臨時街市（包括深水埗玉器市場）
觀塘碼頭熟食市場,0,0,0,觀塘碼頭熟食市場
大成街街市,40,89,129,大成街街市
鯉魚門街市,1,3,4,鯉魚門街市
紅磡街市,18,52,70,紅磡街市
彩虹道街市,5,0,5,彩虹道街市
安靜道生花市場,0,0,0,安靜道生花市場
牛池灣街市,0,5,5,牛池灣街市
九龍城街市,23,177,200,九龍城街市
雙鳳街街市,5,19,24,雙鳳街街市
牛頭角街市,1,4,5,牛頭角街市
瑞和街街市,6,159,165,瑞和街街市
四山街熟食市場,0,0,0,四山街熟食市場
駿業熟食市場,0,0,0,駿業熟食市場
東源街熟食市場,0,0,0,東源街熟食市場
宜安街街市,2,5,7,宜安街街市
柴灣角熟食市場,0,0,0,柴灣角熟食市場
香車街街市,24,56,80,香車街街市
荃灣街市,37,142,179,荃灣街市
楊屋道街市,34,79,113,楊屋道街市
長達路熟食市場,0,0,0,長達路熟食市場
葵順街熟食市場,0,0,0,葵順街熟食市場
嘉定熟食市場,0,0,0,嘉定熟食市場
深井臨時街市,1,2,3,深井臨時街市
北葵涌街市,24,55,79,北葵涌街市
火炭東熟食市場,0,0,0,火炭東熟食市場
寶湖道街市,4,23,27,寶湖道街市
和宜合道熟食市場,4,0,4,和宜合道熟食市場
西貢街市,3,6,9,西貢街市
青衣街市,7,16,23,青衣街市
古洞街市購物中心,1,6,7,古洞街市購物中心
榮芳街街市,4,13,17,榮芳街街市
對面海街市,0,0,0,對面海街市
沙頭角街市,3,3,6,沙頭角街市
火炭西熟食市場,0,0,0,火炭西熟食市場
石湖墟街市,40,103,143,石湖墟街市
聯和墟街市,24,33,57,聯和墟街市
大埔墟街市,5,54,59,大埔墟街市
沙田街市,0,42,42,沙田街市
大圍街市,6,42,48,大圍街市
洪祥熟食市場,0,0,0,洪祥熟食市場
建榮熟食市場,0,0,0,建榮熟食市場
新墟街市,20,117,137,新墟街市
藍地街市,0,1,1,藍地街市
青楊熟食巿場,0,0,0,青楊熟食巿場
仁愛街市,1,46,47,仁愛街市
洪水橋臨時街市,11,45,56,洪水橋臨時街市
大棠道熟食市場,2,0,2,大棠道熟食市場
流浮山街市,0,0,0,流浮山街市
擊壤路熟食市場,2,0,2,擊壤路熟食市場
錦田街市,0,2,2,錦田街市
建業街熟食市場,2,0,2,建業街熟食市場
同益街市,6,39,45,同益街市
大橋街市,18,92,110,大橋街市
長洲街巿,5,53,58,長洲街巿
長洲熟食市場,0,0,0,長洲熟食市場
梅窩熟食市場,0,0,0,梅窩熟食市場
梅窩街市,0,10,10,梅窩街市
大澳街市,0,4,4,大澳街市
坪洲街市,0,0,0,坪洲街市
